DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
02-Jan-2024,20,18,24,26,19,14,T3,Excalibur 5,3410
30-Dec-2023,1,3,22,5,2,7,T2,Excalibur 5,3409
29-Dec-2023,10,13,33,37,3,3,T2,Excalibur 5,3408
27-Dec-2023,26,17,35,12,25,8,T2,Excalibur 5,3407
26-Dec-2023,29,26,14,16,3,7,T2,Excalibur 5,3406
23-Dec-2023,15,10,35,5,16,3,T1,Excalibur 5,3405
22-Dec-2023,25,33,1,5,2,5,T1,Excalibur 5,3404
20-Dec-2023,4,22,38,17,18,9,T1,Excalibur 5,3403
19-Dec-2023,27,18,2,20,39,9,T1,Excalibur 5,3402
16-Dec-2023,22,31,26,39,34,6,T4,Excalibur 5,3401
15-Dec-2023,18,16,37,11,29,14,T4,Excalibur 5,3400
13-Dec-2023,38,35,25,37,26,3,T4,Excalibur 5,3399
12-Dec-2023,35,12,2,5,27,14,T4,Excalibur 5,3398
09-Dec-2023,16,7,25,31,28,7,T3,Excalibur 1,3397
08-Dec-2023,31,15,2,37,35,6,T3,Excalibur 1,3396
06-Dec-2023,26,13,32,15,18,10,T3,Excalibur 1,3395
05-Dec-2023,19,35,23,26,28,4,T3,Excalibur 1,3394
02-Dec-2023,5,13,38,24,22,2,T2,Excalibur 1,3393
01-Dec-2023,35,2,29,31,28,12,T2,Excalibur 1,3392
29-Nov-2023,25,1,21,17,39,2,T2,Excalibur 1,3391
28-Nov-2023,31,12,21,25,5,9,T2,Excalibur 1,3390
25-Nov-2023,29,38,33,3,16,6,T1,Excalibur 3,3389
24-Nov-2023,22,16,30,15,9,2,T1,Excalibur 3,3388
22-Nov-2023,8,38,30,28,23,12,T1,Excalibur 3,3387
21-Nov-2023,36,20,6,16,25,11,T1,Excalibur 3,3386
18-Nov-2023,14,13,26,1,27,5,T4,Excalibur 3,3385
17-Nov-2023,5,10,17,30,36,2,T4,Excalibur 3,3384
15-Nov-2023,7,4,26,29,22,13,T4,Excalibur 3,3383
14-Nov-2023,28,23,15,5,11,3,T4,Excalibur 3,3382
11-Nov-2023,8,13,5,22,3,5,T3,Excalibur 2,3381
10-Nov-2023,17,23,18,35,6,11,T3,Excalibur 2,3380
08-Nov-2023,4,9,32,14,35,2,T3,Excalibur 2,3379
07-Nov-2023,15,6,24,8,25,12,T3,Excalibur 2,3378
04-Nov-2023,15,4,8,23,5,7,T2,Excalibur 2,3377
03-Nov-2023,19,26,7,28,4,2,T2,Excalibur 2,3376
01-Nov-2023,3,19,38,33,1,11,T2,Excalibur 2,3375
31-Oct-2023,39,21,22,36,15,2,T2,Excalibur 2,3374
28-Oct-2023,2,12,32,16,17,4,T1,Excalibur 2,3373
27-Oct-2023,24,12,2,31,30,2,T1,Excalibur 2,3372
25-Oct-2023,26,19,16,39,21,13,T1,Excalibur 2,3371
24-Oct-2023,14,12,1,27,34,8,T1,Excalibur 2,3370
21-Oct-2023,29,1,7,5,30,6,T10,Excalibur 2,3369
20-Oct-2023,38,1,31,35,8,13,T10,Excalibur 2,3368
18-Oct-2023,32,34,36,35,7,7,T10,Excalibur 2,3367
17-Oct-2023,33,24,23,10,31,12,T10,Excalibur 2,3366
14-Oct-2023,1,6,7,36,16,7,T9,Excalibur 3,3365
13-Oct-2023,33,28,29,25,12,1,T9,Excalibur 3,3364
11-Oct-2023,10,9,6,32,3,7,T9,Excalibur 3,3363
10-Oct-2023,37,5,7,13,20,9,T9,Excalibur 3,3362
07-Oct-2023,32,20,18,9,21,14,T11,Excalibur 3,3361
06-Oct-2023,35,36,30,32,10,8,T11,Excalibur 3,3360
04-Oct-2023,21,7,23,15,12,14,T11,Excalibur 3,3359
03-Oct-2023,27,1,6,36,19,3,T11,Excalibur 3,3358
30-Sep-2023,31,8,29,17,20,3,T10,Excalibur 2,3357
29-Sep-2023,17,25,15,18,34,8,T10,Excalibur 2,3356
27-Sep-2023,6,36,12,13,4,7,T10,Excalibur 2,3355
26-Sep-2023,12,10,28,7,25,8,T10,Excalibur 2,3354
23-Sep-2023,36,7,2,20,38,12,T9,Excalibur 2,3353
22-Sep-2023,5,20,30,8,37,7,T9,Excalibur 2,3352
20-Sep-2023,10,21,26,19,20,14,T9,Excalibur 2,3351
19-Sep-2023,13,25,28,27,24,3,T9,Excalibur 2,3350
16-Sep-2023,33,31,4,36,10,2,T11,Excalibur 3,3349
15-Sep-2023,26,23,1,18,30,10,T11,Excalibur 3,3348
13-Sep-2023,36,13,37,5,33,3,T11,Excalibur 3,3347
12-Sep-2023,29,30,4,11,1,8,T11,Excalibur 3,3346
09-Sep-2023,37,11,15,34,2,5,T10,Excalibur 3,3345
08-Sep-2023,38,39,8,5,30,9,T10,Excalibur 3,3344
06-Sep-2023,38,8,27,24,31,7,T10,Excalibur 3,3343
05-Sep-2023,35,34,33,8,22,12,T10,Excalibur 3,3342
02-Sep-2023,9,19,23,20,12,14,T9,Excalibur 2,3341
01-Sep-2023,6,24,14,10,4,12,T9,Excalibur 2,3340
30-Aug-2023,20,30,25,19,12,10,T9,Excalibur 2,3339
29-Aug-2023,33,37,35,39,5,12,T6,Excalibur 2,3338
26-Aug-2023,12,14,18,11,32,7,T5,Excalibur 2,3337
25-Aug-2023,4,12,36,34,8,5,T5,Excalibur 2,3336
23-Aug-2023,27,26,38,35,28,4,T5,Excalibur 2,3335
22-Aug-2023,1,4,39,27,30,12,T5,Excalibur 2,3334
19-Aug-2023,20,8,19,22,39,6,T8,Excalibur 3,3333
18-Aug-2023,18,25,7,15,27,12,T8,Excalibur 3,3332
16-Aug-2023,25,4,10,5,24,4,T8,Excalibur 3,3331
15-Aug-2023,18,12,36,11,13,5,T8,Excalibur 3,3330
12-Aug-2023,37,8,19,23,20,1,T7,Excalibur 3,3329
11-Aug-2023,24,15,26,2,30,6,T7,Excalibur 3,3328
09-Aug-2023,7,24,22,11,1,9,T7,Excalibur 3,3327
08-Aug-2023,24,30,8,34,19,13,T7,Excalibur 3,3326
05-Aug-2023,30,31,21,16,11,5,T6,Excalibur 3,3325
04-Aug-2023,11,12,10,25,4,10,T6,Excalibur 3,3324
02-Aug-2023,26,27,7,30,13,3,T6,Excalibur 3,3323
01-Aug-2023,4,29,34,22,13,5,T6,Excalibur 2,3322
29-Jul-2023,28,31,26,19,11,13,T5,Excalibur 2,3321
28-Jul-2023,4,27,31,39,14,4,T5,Excalibur 2,3320
26-Jul-2023,35,16,22,33,24,9,T5,Excalibur 2,3319
25-Jul-2023,30,13,37,17,16,6,T5,Excalibur 2,3318
22-Jul-2023,31,22,5,9,29,7,T8,Excalibur 3,3317
21-Jul-2023,12,18,25,7,37,10,T8,Excalibur 3,3316
19-Jul-2023,1,37,38,31,11,12,T8,Excalibur 3,3315
18-Jul-2023,7,3,4,13,12,8,T8,Excalibur 3,3314
15-Jul-2023,35,11,30,7,13,5,T7,Excalibur 3,3313
14-Jul-2023,30,10,36,14,2,13,T7,Excalibur 3,3312
12-Jul-2023,28,35,6,2,1,10,T7,Excalibur 3,3311
11-Jul-2023,2,25,21,4,12,8,T7,Excalibur 3,3310
08-Jul-2023,15,27,11,20,10,3,T6,Excalibur 2,3309
07-Jul-2023,11,32,18,35,6,13,T6,Excalibur 2,3308
